      94       1       1    21.3   74.69                177
      94       1       2   12.35   64.81                231
      94       1       3   44.53   90.17                267
      94       1       4   26.41   78.79                229
      94       1       5   20.99   74.97                232
      94       1       6   46.73  102.92                187
      94       1       7   15.42    63.9                216
      94       1       8   36.19   78.98                180
      94       1       9   48.93   97.26                173
      94       1      10   21.66   76.84                244
      94       1      11   14.79   61.12                193
      94       1      12   24.27   70.85                204
      94       1      13   26.88   62.47                186
      94       1      14   16.66   43.08                160
      94       1      15   14.49   53.41                165
      94       1      16    12.7    56.1                162
      94       1      17   21.64   65.25                249
      94       1      18    29.6   55.71                210
      94       1      19   13.15   39.89                204
      94       1      20    18.9    38.9                189
      94       1      21   21.32    60.1                187
      94       1      22   27.51   68.63                161
      94       1      23   24.29   72.19                167
      94       1      24   24.61   78.37                237
      94       1      25    40.8   97.96                252
      94       1      26   41.53  111.44                238
      94       1      27   33.54    91.4                212
      94       1      28   35.39   98.73                226
      94       1      29    20.7   66.88                237
      94       1      30   12.49   48.96                218
      94       1      31   16.11   61.55                251
      94       2       1   38.64  106.94                250
      94       2       2   20.04   65.37                214
      94       2       3   12.08   58.15                205
      94       2       4   12.12   63.49                202
      94       2       5   16.95   76.89                213
      94       2       6   30.28   71.35                192
      94       2       7   29.81   65.64                201
      94       2       8   25.01   70.81                206
      94       2       9   13.34   50.64                168
      94       2      10       4   40.52                156
      94       2      11   12.22   61.57                235
      94       2      12    6.98   37.72                225
      94       2      13    2.75   32.93                202
      94       2      14    8.24   49.71                270
      94       2      15   12.98    41.9                243
      94       2      16    6.66   38.62                227
      94       2      17    9.33   37.95                193
      94       2      18    7.37   45.16                214
      94       2      19      15   50.33                186
      94       2      20   12.03   41.78                188
      94       2      21   15.99    60.6                223
      94       2      22   13.39   60.23                239
      94       2      23   29.11   71.37                244
      94       2      24   27.99   59.29                246
      94       2      25   14.46   38.71                207
      94       2      26   12.65   40.07                232
      94       2      27   11.22   38.29                174
      94       2      28   13.49   42.01                237
      94       3       1   15.46   53.09                240
      94       3       2   17.53   52.96                242
      94       3       3   31.86   88.92                251
      94       3       4   18.75      74                225
      94       3       5   15.73   70.94                248
      94       3       6   11.17    65.4                221
      94       3       7   37.98   76.85                305
      94       3       8   42.83   58.27                286
      94       3       9    11.1   60.05                237
      94       3      10   13.14   45.28                232
      94       3      11   15.66    60.3                200
      94       3      12   34.79   81.31                253
      94       3      13   15.14   52.86                191
      94       3      14   11.92   41.47                300
      94       3      15   13.96   47.08                244
      94       3      16   28.79   74.23                283
      94       3      17   29.93   63.78                247
      94       3      18   23.75   62.59                234
      94       3      19   25.06   57.32                216
      94       3      20    8.67   42.57                214
      94       3      21   15.06   73.82                271
      94       3      22    16.6   66.21                252
      94       3      23      21   66.31                265
      94       3      24   18.59   76.73                270
      94       3      25    22.5   83.94                242
      94       3      26   17.07   65.99                228
      94       3      27    8.86   47.89                246
      94       3      28   15.56   70.36                291
      94       3      29   14.23   72.46                280
      94       3      30   15.75   73.23                293
      94       3      31    11.8   66.49                206
      94       4       1    19.2   76.09                194
      94       4       2   28.86   81.68                248
      94       4       3   15.01    59.3                227
      94       4       4   22.44   63.92                222
      94       4       5   27.79   52.04                237
      94       4       6   21.91   42.01                273
      94       4       7   29.52   45.45                248
      94       4       8   19.59   48.85                218
      94       4       9    7.76   47.03                210
      94       4      10    6.22   48.82                199
      94       4      11   16.02   62.17                222
      94       4      12   43.76   47.69                260
      94       4      13   17.98   48.95                237
      94       4      14   18.44   44.21                213
      94       4      15    37.4    83.8                213
      94       4      16   21.62   68.08                175
      94       4      17   11.86   52.37                211
      94       4      18    23.7   49.48                235
      94       4      19   40.53   35.64                236
      94       4      20   47.35   32.87                245
      94       4      21   20.39   33.41                207
      94       4      22   16.75   33.63                195
      94       4      23   21.22   30.52                171
      94       4      24   24.27   30.93                170
      94       4      25   25.62   30.17                211
      94       4      26   35.51   32.99                232
      94       4      27   39.05   34.51                213
      94       4      28   49.63    50.4                212
      94       4      29   53.23   55.64                209
      94       4      30   42.42   48.58                209
      94       5       1   22.02   35.64                159
      94       5       2   28.33   36.66                251
      94       5       3   54.66   78.85                225
      94       5       4   28.36   66.73                222
      94       5       5   23.59   67.85                196
      94       5       6    29.1    83.2                208
      94       5       7   41.25   97.11                189
      94       5       8   50.43   95.98                196
      94       5       9   15.57   56.25                258
      94       5      10   41.32   40.46                235
      94       5      11   39.09   62.81                253
      94       5      12   25.22    38.4                218
      94       5      13   38.57   23.24                195
      94       5      14   23.75   28.89                182
      94       5      15   30.68      58                195
      94       5      16   30.57    35.7                248
      94       5      17   29.19   45.84                211
      94       5      18   24.47    56.8                241
      94       5      19   14.33   47.33                197
      94       5      20   14.62   50.41                216
      94       5      21    26.1   58.42                208
      94       5      22   37.93   49.95                197
      94       5      23   31.77   35.78                210
      94       5      24   32.01   39.65                210
      94       5      25   38.43   41.24                223
      94       5      26   30.61   38.78                206
      94       5      27   47.78   57.13                199
      94       5      28   15.61   51.41                181
      94       5      29   14.72   50.17                187
      94       5      30   12.01   39.64                241
      94       5      31   14.27    57.8                207
      94       6       1    11.8   49.97                240
      94       6       2   10.82   45.72                202
      94       6       3    8.36   43.96                182
      94       6       4    8.72   46.26                177
      94       6       5     9.2   38.73                152
      94       6       6   10.68   31.11                230
      94       6       7    6.95   26.04                225
